Elemento,Descripcion,Link,Banco
Punto País,"Beneficio
20% de descuento en la carta gastronómica (no incluye menú del día) de lunes a sábado.
Descripción
En Punto Pais buscamos que nuestros clientes tengan acceso a una maravillosa experiencia gastronómica en un entorno hermoso y acogedor , grandes terrazas especiales para todo tipo de evento y publico y el servicio mas cercano que puedas encontrar.
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú. No acumulable con otras promociones.",https://itaubeneficios.cl/restaurantes/punto-pais/,Banco Itau
Philia Casa de Café,"Beneficio
20% de descuento en todo el menú de lunes a viernes. Para acceder a este beneficio debes mencionar que pagas con tus tarjetas de crédito y débito Itaú al momento de pedir tu cuenta.
    Descripción
Cafetería de especialidad con cocina estacional. Desayunos, brunch, almuerzos, onces, pastelerías, coffee breaks, catering, servicios corporativos.
Abiertos de lunes a viernes de 7.30hs a 19hs. Y sábados y domingos de 9.30hs a 18hs.
      Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú. No aplica el descuento sobre productos que ya estén en descuento.",https://itaubeneficios.cl/restaurantes/philia-casa-de-cafe/,Banco Itau
Café Melba Riesco,"Beneficio
15% de descuento de lunes a jueves  entre las 8:30 y las 12:00 y los viernes sábado y domingo desde las 8:30 hasta las 16:30. Para acceder a este beneficio debes mencionar que pagas con tus tarjetas de crédito y débito Itaú al momento de pedir tu cuenta.
  Descripción
Restaurante que ofrece desayunos, brunch y almuerzos.
Lunes a Viernes entre las 8:30 y las 17:00. Sábados y Domingos entre las 9:00 y las 16:00
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú. Descuento no aplicable a productos en promoción.",https://itaubeneficios.cl/restaurantes/cafe-melba-riesco/,Banco Itau
Pizzería Domani,"Beneficio
20% de descuento de  lunes a viernes a partir de las  17:00 horas y los sábados todo el día. Para acceder a este beneficio debes mencionar que pagas con las tarjetas de crédito y débito Itaú. Para compras Online debes ingresar como código de descuento BENEFICIOITAU antes de finalizar la compra.
Descripción
En Domani, amamos la Pizza Napolitana. Hacemos nuestra masa fresca todos los días, dejándola fermentar durante 24-48 horas, luego en 90 segundos a 450°C la cocinamos perfectamente. Una masa suave y flexible, tú decides cómo disfrutarla.
Horario de lunes a sábado desde las 12:30 hasta las 23 horas
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú. No aplica para promociones y happy hours y costo de despacho.",https://itaubeneficios.cl/restaurantes/pizzeria-domani-2/,Banco Itau
Lorenzo Lounge-Bar,"Beneficio
Obtén 20% de descuento de lunes a jueves en toda la carta. Descuento válido solo para consumir en el local.
Para acceder a este beneficio debes mencionar que pagas con las tarjetas de crédito o débito Itaú.
Descripción
El concepto es de un restaurante relajado donde todo está pensado en ser compartido, está ubicado a 1 ½ cuadras de la alameda, 3 oriente 1676 entre 5 y 6 norte, atendemos de martes a sábados desde las 18:00 a las 02:00 horas.
Restricciones
EXCLUSIVO PAGANDO CON TARJETA DE CRÉDITO O DÉBITO ITAÚ EMITIDAS EN CHILE, PARA PERSONAS NATURALES SIN GIRO COMERCIAL. Excluye tarjetas Condell y tarjetas de crédito American Express, Mastercard Business, VISA Business y RappiCard By Itaú.
Descuentos no acumulables con otras promociones. Excluye costo de propinas. Promoción disponible de lunes a jueves.",https://itaubeneficios.cl/restaurantes/lorenzo-lounge-bar/,Banco Itau
La Tabla,"Beneficio
40% de descuento todos los lunes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Más de 23 años de tradición y excelencia gastronómica ofreciendo los cortes de carne más premium a la parrilla, ademas de ensaladas, pescados, mariscos, opciones vegetarianas, veganas, gluten free, y los más deliciosos postres.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/lunes-gourmet/la-tabla-2/,Banco Itau
La Tabla,"Beneficio
40% de descuento todos los lunes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Más de 23 años de tradición y excelencia gastronómica ofreciendo los cortes de carne más premium a la parrilla, ademas de ensaladas, pescados, mariscos, opciones vegetarianas, veganas, gluten free, y los más deliciosos postres.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/lunes-gourmet/la-tabla-3/,Banco Itau
La Cabrera,"Beneficio
40% de descuento todos los martes de marzo, abril y mayo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu Tarjeta de Crédito Legend o billetera digital Legend Itaú al momento de pedir tu cuenta.
Descripción
La Cabrera es una casa de carnes, que respeta la tradición y la esencia de la parrilla argentina. La intención es que aquellos que vayan, argentinos y turistas, puedan vivir una experiencia única.
Local Alonso de Cordova: Lunes a Sábado de 12:30 a 22:30 horas – Domingo 12:30 a 16:30 horas.
Local Isidora Goyenechea: Lunes a Sábado de 12:30 a 22:30 horas – Domingo 12:30 a 21:00 horas.
  Restricciones
Promociones válidas para compras efectuadas entre el 01 de marzo al 31 de mayo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend Itaú emitidas en Chile (excluye tarjetas de débito Condell, tarjetas de crédito Black, Signature, Gold, Blue, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend $100.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/la-cabrera/,Banco Itau
Kunstmann,"Beneficio
40% de descuento todos los martes y jueves de marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Te invitamos a formar parte de la familia cervecera y disfrutar de nuestras especialidades craft elaboradas en Torobayo, con agua blandas valdivianas.
Restricciones
Promociones válidas para compras efectuadas en marzo 2025 , por personas naturales sin giro comercial que sean titulares de Tarjetas Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
No incluye: souvenir, llenado de growler y tour
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/kunstmann-2/,Banco Itau
Kunstmann,"Beneficio
40% de descuento todos los martes y jueves de marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu Tarjeta de Crédito Legend o billetera digital Legend Itaú al momento de pedir tu cuenta.
Descripción
Te invitamos a formar parte de la familia cervecera y disfrutar de nuestras especialidades craft elaboradas en Torobayo, con agua blandas valdivianas.
Restricciones
Promociones válidas para compras efectuadas en marzo 2025.  por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
No incluye: souvenir, llenado de growler y tour
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/kunstmann/,Banco Itau
Naoki,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu Tarjeta de Crédito Legend o billetera digital Legend Itaú al momento de pedir tu cuenta.
Descripción
Comida japonesa fusión Chile Horarios: Lunes a Sábado 12:30-16:30/18:00-23:30| Domingo
12:30-16:30 horas. Explora la división indisoluble entre el espíritu y la materia en una continua y
envolvente experiencia culinaria
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend Itaú emitidas en Chile (excluye tarjetas de débito Condell, tarjetas de crédito Black, Signature, Gold, Blue, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend $100.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/naoki/,Banco Itau
Tanaka,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu Tarjeta de Crédito Legend o billetera digital Legend Itaú al momento de pedir tu cuenta.
Descripción
Conoce y disfruta nuestra cocina Peruvian Fusión en Lo Barnechea o Vitacura. La mejor fusión de comida japonesa y peruana, en un espacio moderno y cálido.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de tarjetas Itaú emitidas en Chile (excluye tarjetas de débito Condell, tarjetas de crédito Black, Signature, Gold, Blue, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual Tarjeta Legend $100.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información.
Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/tanaka/,Banco Itau
El Mesón De La Patagonia,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
La Patagonia es el lugar más austral del planeta donde la naturaleza se conserva como hace millones de años, es aquí en Punta Arenas, donde nace este restaurant en la década del 80. Centolla, Cordero preparados a la manera tradicional de la Patagonia, hicieron de este restaurant merecedor de la máxima calificación gastronómica, 7 tenedores, hacen más de 20 años, aquí en Santiago. Nuestros clientes, nos dan su preferencia todos los días. Los extranjeros residentes y visitas de variados países del mundo llegan a probar los sabores de la Patagonia; Centolla Fresca, Chupe de Centolla, Panqueque de Centolla y el tradicional Cordero al Palo, y en diversas preparaciones, son las delicias de nuestros clientes. Nuestro quincho con los corderos asándose es el rincón favorito de comensales de todas nacionalidades donde pueden sentir todo el calor de la Patagonia. Nosotros amamos la Patagonia y nuestra satisfacción es: compartir los sabores de la Patagonia con Ud., sin salir de Santiago.
Horario Lu cerrado Ma y Mi de 18:30 a 23:30 horas Ju a Sa de 13:00 a 23:30 horas Do de 13:00 a 17:00 horas
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/el-meson-de-la-patagonia/,Banco Itau
El Mesón De La Patagonia,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
La Patagonia es el lugar más austral del planeta donde la naturaleza se conserva como hace millones de años, es aquí en Punta Arenas, donde nace este restaurant en la década del 80. Centolla, Cordero preparados a la manera tradicional de la Patagonia, hicieron de este restaurant merecedor de la máxima calificación gastronómica, 7 tenedores, hacen más de 20 años, aquí en Santiago.
Horario Lu cerrado Ma y Mi de 18:30 a 23:30 horas Ju a Sa de 13:00 a 23:30 horas Do de 13:00 a 17:00 horas
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/el-meson-de-la-patagonia-2/,Banco Itau
Puerto Trapense,"Beneficio
40% de descuento todos los lunes de marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Puerto Trapenses es una experiencia gastronómica donde podrás hacer un recorrido por los platos más destacados de la gastronomía chilena. aquí, rescatamos la esencia del mar que nos acompaña de norte a sur, con la picardía y sensualidad del marisco, y el esfuerzo y tenacidad del pescador.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/lunes-gourmet/puerto-trapense/,Banco Itau
